,tweet_id,favorite_count,retweet_count
116,870308999962521604,20622,3809
117,870063196459192321,34377,7643
118,869988702071779329,0,0
119,869772420881756160,40096,9333
120,869702957897576449,26588,5804
121,869596645499047938,15048,2877
122,869227993411051520,19257,3477
123,868880397819494401,61687,13316
124,868639477480148993,0,1916
125,868622495443632128,25162,4892
126,868552278524837888,9505,1916
127,867900495410671616,22870,3861
128,867774946302451713,32093,6797
129,867421006826221569,15201,2303
130,867072653475098625,0,110
131,867051520902168576,30478,7304
132,866816280283807744,0,0
133,866720684873056260,18927,4450
134,866686824827068416,18234,3237
135,866450705531457537,115705,32664
136,866334964761202691,49583,13233
137,866094527597207552,0,7784
138,865718153858494464,24317,5221
139,865359393868664832,25067,4652
140,865006731092295680,26580,7160
141,864873206498414592,30606,8093
142,864279568663928832,13827,2813
143,864197398364647424,28439,8243
144,863907417377173506,19555,3852
145,863553081350529029,14511,3913
146,863471782782697472,0,2267
147,863432100342583297,22597,4894
148,863427515083354112,2095,89
149,863079547188785154,8345,1036
150,863062471531167744,8031,2267
151,862831371563274240,18259,4815
152,862722525377298433,16274,3306
153,862457590147678208,19462,4613
154,862096992088072192,70650,21656
155,861769973181624320,0,0
156,861383897657036800,34364,10032
157,861288531465048066,16355,3875
158,861005113778896900,15913,3573
159,860981674716409858,0,2013
160,860924035999428608,0,749
161,860563773140209665,7142,2013
162,860524505164394496,22569,4984
163,860276583193509888,17537,3295
164,860184849394610176,15922,5492
165,860177593139703809,0,29102
166,859924526012018688,18717,3861
167,859851578198683649,14746,3308
168,859607811541651456,17819,1473
169,859196978902773760,85945,28413
170,859074603037188101,32357,12855
171,858860390427611136,0,7661
172,858843525470990336,14932,3287
173,858471635011153920,20613,4594
174,858107933456039936,15108,2741
175,857989990357356544,15439,2456
176,857746408056729600,32875,10071
177,857393404942143489,5647,1557
178,857263160327368704,19272,4288
179,857214891891077121,215,17
180,857062103051644929,0,161
181,857029823797047296,18123,3777
182,856602993587888130,0,0
183,856543823941562368,15712,2741
184,856526610513747968,11427,1785
185,856330835276025856,0,637
186,856288084350160898,494,15
187,856282028240666624,26736,5995
188,855862651834028034,323,24
189,855860136149123072,4741,934
190,855857698524602368,11457,2012
